"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,      -2.719391748,       0.281038917,               -32,      0.5718296584,       1.447430502
          0,           0,           1,      -2.727941099,      0.2714546314,      -1.609118529,      0.5556196362,       7.206711938
          0,           0,           2,      -2.736368461,      0.3081601696,       -1.72725559,      0.5872135743,       6.474694944
          0,           0,           3,      -2.784388823,      0.3119791181,      -1.318738128,      0.5879871439,        5.90163322
          0,           0,           4,      -2.865209258,      0.3409901892,      -1.117405263,      0.5903184715,       5.567963641
          0,           0,           5,      -2.912340782,      0.3708152199,     -0.8970298511,      0.5922476512,       5.363447036
          0,           0,           6,      -2.948181494,      0.3938178538,     -0.7187290574,      0.5954352108,       5.244731308
          0,           0,           7,      -2.978672406,      0.4088946488,      -0.586221835,      0.5993839194,        5.17274832
          0,           0,           8,      -3.005605387,      0.4163221972,     -0.4878607025,       0.602201945,       5.121941349
          0,           0,           9,      -3.029652903,      0.4168747183,     -0.4164183051,      0.6039599905,       5.067817153
          0,           0,          10,      -3.051276258,      0.4114460498,     -0.3686098798,      0.6052001672,       5.007832608
          0,           0,          11,      -3.071257191,       0.401283002,     -0.3375511825,      0.6055774113,        4.94295145
          0,           0,          12,      -3.090189059,      0.3875584076,     -0.3185890229,      0.6042893091,        4.87723605
          0,           0,          13,       -3.10843093,      0.3711614116,     -0.3077875545,      0.6020306302,       4.812837055
          0,           0,          14,      -3.126096121,      0.3529106706,     -0.3017490577,      0.5988952085,       4.754708484
          0,           0,          15,      -3.143158074,      0.3334905124,     -0.2978353874,      0.5947691645,       4.708237931
          0,           0,          16,      -3.159469767,      0.3135762475,     -0.2937950698,      0.5901648622,       4.669585162
          0,           0,          17,       -3.17458419,      0.2937744936,     -0.2879844174,       0.585209083,        4.63856798
          0,           0,          18,      -3.188386766,      0.2749356839,     -0.2800944401,       0.579702627,       4.612353856
          0,           0,          19,      -3.200726915,      0.2571652875,     -0.2692691416,      0.5736499783,       4.587822045
          0,           0,          20,      -3.211098256,      0.2409338273,     -0.2560244582,      0.5673330239,       4.562585659
          0,           0,          21,      -3.219271272,      0.2263119404,     -0.2419093421,       0.560691894,       4.535727634
          0,           0,          22,       -3.22586556,      0.2139582342,     -0.2277729439,      0.5539288165,       4.507422808
          0,           0,          23,      -3.230849094,      0.2040079604,     -0.2133898722,      0.5470661124,       4.476048817
          0,           0,          24,      -3.234074018,      0.1958037012,      -0.199995662,      0.5400766665,       4.444525956
          0,           0,          25,       -3.23698762,      0.1897688897,     -0.1875929862,      0.5329424491,       4.414363353
          0,           0,          26,      -3.240206511,      0.1858446647,     -0.1748705845,      0.5257290931,       4.385706578
          0,           0,          27,      -3.242471439,      0.1826084472,     -0.1636018371,      0.5184835096,       4.358824518
          0,           0,          28,      -3.245200425,      0.1801529877,      -0.154297759,      0.5112099892,       4.333927769
          0,           0,          29,      -3.249314098,       0.178920107,     -0.1451023997,      0.5038997407,       4.311011658
          0,           0,          30,      -3.251758303,      0.1771248525,     -0.1380108312,      0.4965736741,       4.289975032
          0,           0,          31,      -3.254406492,      0.1743537492,     -0.1334629361,      0.4892362737,       4.269960234
          0,           0,          32,      -3.259076903,       0.172323482,     -0.1294079921,      0.4818672187,       4.250429173
          0,           0,          33,       -3.26065223,      0.1694894467,     -0.1277249708,      0.4744399111,       4.232003889
          0,           0,          34,      -3.261169652,      0.1640948785,     -0.1285881761,      0.4669944545,       4.214708561
          0,           0,          35,      -3.264924331,      0.1589418066,     -0.1298938649,      0.4595528211,        4.19847689
          0,           0,          36,      -3.265921183,      0.1545765475,     -0.1331353022,      0.4521143892,       4.182992914
          0,           0,          37,       -3.26413643,      0.1471140926,     -0.1382643585,      0.4446932294,       4.168057186
          0,           0,          38,       -3.26569173,       0.137624799,     -0.1434834949,      0.4373058815,       4.154533714
          0,           0,          39,      -3.266848014,      0.1300661006,     -0.1506643559,      0.4299683952,       4.141769519
          0,           0,          40,      -3.264095486,      0.1216844318,     -0.1596245279,      0.4226996831,       4.128473294
          0,           0,          41,      -3.262472381,      0.1092502016,      -0.167400735,      0.4155205645,       4.114341933
          0,           0,          42,      -3.263302649,     0.09610760667,     -0.1759387392,      0.4084504171,       4.101866983
          0,           0,          43,      -3.262249271,     0.08516053853,     -0.1875320357,      0.4014790505,       4.090573466
          0,           0,          44,      -3.259515264,     0.07331776251,     -0.1986144444,       0.394662207,       4.080005667
          0,           0,          45,      -3.258622514,     0.05788199555,     -0.2068173502,      0.3880311008,       4.070169541
          0,           0,          46,      -3.258955821,     0.04155674747,     -0.2162934454,      0.3816095492,       4.061117507
          0,           0,          47,      -3.258231295,     0.02702739415,     -0.2287284814,      0.3754256441,       4.053114594
          0,           0,          48,      -3.256997998,     0.01302252248,     -0.2397344134,      0.3694327392,       4.045704311
          0,           0,          49,      -3.256962634,   -0.002897483298,     -0.2466875891,      0.3636507141,       4.038648942
          0,           0,          50,      -3.257712839,    -0.02047698065,     -0.2533447186,      0.3581438445,       4.032179997
          0,           0,          51,      -3.257932202,    -0.03778928306,     -0.2624159822,      0.3529620044,       4.025727304
          0,           0,          52,       -3.25786878,     -0.0542519827,     -0.2710363687,      0.3481220609,       4.019859937
