"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -2.258584206,     0.09749584175,      0.1335926574,       3.210775544,      -4.901014944
          0,           0,           1,       -2.34271339,     0.09772042385,      0.1582378369,       3.154040889,      -5.236941362
          0,           0,           2,      -2.798419389,     -0.2307692057,    -0.07955031879,        2.67130406,      -5.738645675
          0,           0,           3,      -2.846800999,     -0.4706071009,     -0.4682923936,       2.624801329,      -6.619241302
          0,           0,           4,       -3.16809268,     -0.6554193479,     -0.7116877111,       2.307348928,      -6.810170405
          0,           0,           5,      -3.332438737,     -0.7137463785,     -0.7876792505,       2.155863594,        -6.9344475
          0,           0,           6,      -3.428130171,     -0.7751901057,     -0.8910104443,       2.066158995,      -7.021673191
          0,           0,           7,      -3.550003381,     -0.8394340525,      -1.053357158,        1.94872675,      -7.086776004
          0,           0,           8,      -3.662374291,     -0.9049908768,      -1.274989698,       1.835153876,      -7.143674223
          0,           0,           9,      -3.708605186,     -0.9711671573,       -1.36362925,        1.78027483,      -7.198349093
          0,           0,          10,      -3.691398483,      -1.026377835,      -1.249977944,       1.790645705,      -7.243990861
          0,           0,          11,      -3.669621435,      -1.052233676,       -1.17626121,       1.810389662,       -7.28720414
          0,           0,          12,      -3.675346579,      -1.053307645,      -1.175369411,       1.803924313,      -7.323667622
          0,           0,          13,      -3.715487699,       -1.05525697,       -1.23900299,       1.761791071,      -7.356627908
          0,           0,          14,       -3.78872896,      -1.075904878,      -1.363142044,       1.683530234,      -7.381833257
          0,           0,          15,       -3.88683404,      -1.118173066,      -1.529564127,       1.576254046,      -7.404915824
          0,           0,          16,      -3.990161232,      -1.174299123,      -1.630763293,       1.462346798,      -7.422156962
          0,           0,          17,      -4.065949307,      -1.228337774,      -1.580692018,       1.387154795,      -7.439187779
          0,           0,          18,      -4.093302727,      -1.262483502,      -1.514208068,       1.376685908,      -7.455541399
